Species,Stock.or.Area,Year,Month,Day,Interaction.Type,County.Locale,STATE,Initial.Injury.Assessment,Comments,Final.Injury.Assessment,SI.Criteria.Supporting.Assessment,SI.Proration.Value,COUNT.AGAINST.LOF,COUNT.AGAINST.PBR
CALIFORNIA SEA LION,U.S.,2008,8,12,GILLNET FISHERY,ORANGE,CA,SI,"GILLNET-LIKE LACERATION AROUND NECK; NON-FATAL INJURY (ANIMAL TAKEN INTO REHAB, TREATED & RELEASED)",NSI,P1,0,Y,N
CALIFORNIA SEA LION,U.S.,2008,8,14,SCIENTIFIC RESEARCH,OFFSHORE,CA,DEAD,CARCASS RETRIEVED FROM NMFS SCIENTIFIC RESEARCH TRAWL,DEAD,NA,1,N,Y
CALIFORNIA SEA LION,U.S.,2008,8,14,SCIENTIFIC RESEARCH,OFFSHORE,CA,DEAD,CARCASS RETRIEVED FROM NMFS SCIENTIFIC RESEARCH TRAWL,DEAD,NA,1,N,Y
CALIFORNIA SEA LION,U.S.,2008,8,14,SCIENTIFIC RESEARCH,OFFSHORE,CA,DEAD,CARCASS RETRIEVED FROM NMFS SCIENTIFIC RESEARCH TRAWL,DEAD,NA,1,N,Y
CALIFORNIA SEA LION,U.S.,2008,8,14,SCIENTIFIC RESEARCH,OFFSHORE,CA,DEAD,CARCASS RETRIEVED FROM NMFS SCIENTIFIC RESEARCH TRAWL,DEAD,NA,1,N,Y
CALIFORNIA SEA LION,U.S.,2008,8,14,SCIENTIFIC RESEARCH,OFFSHORE,CA,DEAD,CARCASS RETRIEVED FROM NMFS SCIENTIFIC RESEARCH TRAWL,DEAD,NA,1,N,Y
CALIFORNIA SEA LION,U.S.,2008,8,14,SCIENTIFIC RESEARCH,OFFSHORE,CA,DEAD,CARCASS RETRIEVED FROM NMFS SCIENTIFIC RESEARCH TRAWL,DEAD,NA,1,N,Y
CALIFORNIA SEA LION,U.S.,2008,8,14,SCIENTIFIC RESEARCH,OFFSHORE,CA,DEAD,CARCASS RETRIEVED FROM NMFS SCIENTIFIC RESEARCH TRAWL,DEAD,NA,1,N,Y
CALIFORNIA SEA LION,U.S.,2008,8,14,SCIENTIFIC RESEARCH,OFFSHORE,CA,DEAD,CARCASS RETRIEVED FROM NMFS SCIENTIFIC RESEARCH TRAWL,DEAD,NA,1,N,Y
CALIFORNIA SEA LION,U.S.,2008,8,14,SCIENTIFIC RESEARCH,OFFSHORE,CA,DEAD,CARCASS RETRIEVED FROM NMFS SCIENTIFIC RESEARCH TRAWL,DEAD,NA,1,N,Y
CALIFORNIA SEA LION,U.S.,2008,8,15,HOOK AND LINE FISHERY,LOS ANGELES,CA,NSI,"FISH HOOK WITH ATTACHED LINE & SINKER IN BODY; NON-FATAL INJURY (ANIMAL TAKEN INTO REHAB, TREATED & RELEASED)",NSI,P5C,0,N,N
CALIFORNIA SEA LION,U.S.,2008,8,21,SHOOTING,SAN LUIS OBISPO,CA,SI,MORTALITY (NECROPSY REVEALED GUNSHOT PELLETS IN ORAL MUCOSA),DEAD,P9,1,N,Y
CALIFORNIA SEA LION,U.S.,2008,8,28,GILLNET FISHERY,ORANGE,CA,SI,"GILLNET FRAGMENT AROUND HEAD & UPPER JAW; NON-FATAL INJURY (ANIMAL TAKEN INTO REHAB, DISENTANGLED, TREATED & RELEASED)",NSI,P7B,0,Y,N
CALIFORNIA SEA LION,U.S.,2008,8,31,HOOK AND LINE FISHERY,LOS ANGELES,CA,NSI,"FISH HOOK IN NECK; NON-FATAL INJURY (ANIMAL TAKEN INTO REHAB, TREATED & RELEASED)",NSI,P5C,0,N,N
CALIFORNIA SEA LION,U.S.,2008,9,2,HOOK AND LINE FISHERY,MONTEREY,CA,NSI,"FISH HOOK WITH ATTACHED LINE IN FLIPPER; NON-FATAL INJURY (ANIMAL TAKEN INTO REHAB, TREATED & RELEASED)",NSI,P5C,0,N,N
CALIFORNIA SEA LION,U.S.,2008,9,3,HOOK AND LINE FISHERY,SAN FRANCISCO,CA,SI,FISH HOOK IN RIGHT SIDE OF LOWER JAW; MORTALITY (ANIMAL EUTHANIZED IN REHAB DUE TO PNEUMONIA & OSTEOMYELITIS; NECROPSY REVEALED FISH HOOK IN STOMACH),DEAD,P2,1,N,Y
CALIFORNIA SEA LION,U.S.,2008,9,6,SCIENTIFIC RESEARCH,VENTURA,CA,NSI,LIVE ANIMAL HOOKED THROUGH LIP DURING NMFS LONGLINE RESEARCH CRUISE; ANIMAL RELEASED ALIVE BY CUTTING LEADER APPROXIMATELY 1 FOOT ABOVE HOOK; FINAL STATUS OF ANIMAL UNKNOWN,NSI,P5B,0,N,N
CALIFORNIA SEA LION,U.S.,2008,9,12,SHOOTING,SAN MATEO,CA,SI,"GUNSHOT WOUND TO HEAD; MORTALITY (ANIMAL EUTHANIZED IN REHAB, RADIOGRAPHS INDICATED LEAD FRAGMENTS IN HEAD)",DEAD,P9,1,N,Y
CALIFORNIA SEA LION,U.S.,2008,9,15,SCIENTIFIC RESEARCH,ORANGE,CA,NSI,LIVE ANIMAL HOOKED THROUGH LIP DURING NMFS LONGLINE RESEARCH CRUISE; ANIMAL RELEASED ALIVE BY CUTTING LEADER APPROXIMATELY 1 FOOT ABOVE HOOK; FINAL STATUS OF ANIMAL UNKNOWN,NSI,P5B,0,N,N
CALIFORNIA SEA LION,U.S.,2008,9,16,HOOK AND LINE FISHERY,SANTA CRUZ,CA,DEAD,CARCASS; FISH HOOK IN FLIPPER,DEAD,P5D,1,N,Y
CALIFORNIA SEA LION,U.S.,2008,9,16,SHOOTING,SANTA CRUZ,CA,SI,"GUNSHOT WOUND TO JAW; MORTALITY (ANIMAL EUTHANIZED IN REHAB, NECROPSY REVEALED BULLET FRAGMENTS IN RIGHT SIDE OF JAW)",DEAD,P9,1,N,Y
CALIFORNIA SEA LION,U.S.,2008,9,21,SHOOTING,SAN MATEO,CA,DEAD,"CARCASS; GUNSHOT WOUND TO LEFT FLIPPER AXILLARY AREA; FIELD NECROPSY REVEALED TWO BROKEN RIBS, BULLET LODGED IN RIB ON RIGHT SIDE OF BODY",DEAD,NA,1,N,Y
CALIFORNIA SEA LION,U.S.,2008,9,21,SHOOTING,SAN MATEO,CA,DEAD,CARCASS; GUNSHOT WOUND TO SIDE; FIELD NECROPSY REVEALED RIB WITH HOLE IN IT,DEAD,NA,1,N,Y
CALIFORNIA SEA LION,U.S.,2008,9,22,GILLNET FISHERY,VENTURA,CA,SI,"GILLNET FRAGMENT WRAPPED AROUND CHEST & FLIPPERS; NON-FATAL INJURY (ANIMAL TAKEN INTO REHAB, DISENTANGLED, TREATED & RELEASED)",NSI,P7B,0,Y,N
CALIFORNIA SEA LION,U.S.,2008,9,28,SHOOTING,SONOMA,CA,SI,"GUNSHOT WOUND TO RIGHT EYE; MORTALITY (ANIMAL EUTHANIZED IN REHAB, RADIOGRAPHS SHOWED BULLET IN RIGHT EYE)",DEAD,P9,1,N,Y
CALIFORNIA SEA LION,U.S.,2008,10,3,GILLNET FISHERY,VENTURA,CA,SI,"GILLNET FRAGMENT WRAPPED AROUND NECK; NON-FATAL INJURY (ANIMAL TAKEN INTO REHAB, DISENTANGLED, TREATED & RELEASED)",NSI,P7B,0,Y,N
CALIFORNIA SEA LION,U.S.,2008,10,6,SHOOTING,MARIN,CA,DEAD,CARCASS; SHOTGUN-LIKE WOUNDS TO NECK & BACK,DEAD,NA,1,N,Y
CALIFORNIA SEA LION,U.S.,2008,10,7,SHOOTING,MARIN,CA,SI,"MORTALITY (ANIMAL DIED ON BEACH, SHOTGUN-LIKE WOUND TO BACK",DEAD,P9,1,N,Y
CALIFORNIA SEA LION,U.S.,2008,10,16,CA SWORDFISH DRIFT GILLNET FISHERY,OFFSHORE,CA,DEAD,OBSERVER PROGRAM,DEAD,NA,1,Y,Y
CALIFORNIA SEA LION,U.S.,2008,10,23,MARINE DEBRIS,MONTEREY,CA,SI,"PACKING STRAP AROUND NECK; NON-FATAL INJURY (ANIMAL TAKEN INTO REHAB, DISENTANGLED, TREATED & RELEASED)",NSI,P7B,0,N,N
CALIFORNIA SEA LION,U.S.,2008,10,25,HOOK AND LINE FISHERY,SANTA CRUZ,CA,SI,FISH HOOK IN MOUTH; MORTALITY (ANIMAL EUTHANIZED IN REHAB DUE TO BLINDNESS; NECROPSY REVEALED FISH HOOK WITH ATTACHED LINE EMBEDDED IN TISSUE BEHIND ESOPHAGUS),DEAD,P2,1,N,Y
CALIFORNIA SEA LION,U.S.,2008,10,26,HOOK AND LINE FISHERY,LOS ANGELES,CA,SI,FISH HOOK IN MOUTH; MORTALITY (ANIMAL DIED IN REHAB; NECROPSY REVEALED SUBCUTANEOUS HEMORRHAGE & BRUISING IN TEMPORALIS MUSCLE ON RIGHT SIDE OF SKULL; CAUSE OF DEATH PROBABLY RELATED TO SKULL TRAUMA OF UNKNOWN ORIGIN),DEAD,P5A,1,N,Y
CALIFORNIA SEA LION,U.S.,2008,11,2,SHOOTING,SAN FRANCISCO,CA,DEAD,CARCASS; SHOTGUN WOUND TO HEAD,DEAD,NA,1,N,Y
CALIFORNIA SEA LION,U.S.,2008,11,5,SHOOTING,ORANGE,CA,SI,"GUNSHOT WOUND TO LEFT EYE; MORTALITY (ANIMAL EUTHANIZED IN REHAB DUE TO UROGENITAL CARCINOMA, BULLET EXTRACTED FROM EYE DURING NECROPSY)",DEAD,P9,1,N,Y
CALIFORNIA SEA LION,U.S.,2008,11,6,SHOOTING/HOOK AND LINE FISHERY,SAN DIEGO,CA,SI,"FISHING LINE WRAPPED AROUND NMFS TAG; GUNSHOT WOUNDS TO HEAD & NECK; NON-FATAL INJURY (ANIMAL TAKEN INTO REHAB, TREATED & RELEASED)",NSI,P9,0,N,N
CALIFORNIA SEA LION,U.S.,2008,11,7,CA SWORDFISH DRIFT GILLNET FISHERY,OFFSHORE,CA,DEAD,OBSERVER PROGRAM,DEAD,NA,1,Y,Y
CALIFORNIA SEA LION,U.S.,2008,11,7,CA SWORDFISH DRIFT GILLNET FISHERY,OFFSHORE,CA,DEAD,OBSERVER PROGRAM,DEAD,NA,1,Y,Y
CALIFORNIA SEA LION,U.S.,2008,11,8,CA SWORDFISH DRIFT GILLNET FISHERY,OFFSHORE,CA,DEAD,OBSERVER PROGRAM,DEAD,NA,1,Y,Y
CALIFORNIA SEA LION,U.S.,2008,11,8,CA SWORDFISH DRIFT GILLNET FISHERY,OFFSHORE,CA,DEAD,OBSERVER PROGRAM,DEAD,NA,1,Y,Y
CALIFORNIA SEA LION,U.S.,2008,11,9,SHOOTING,LOS ANGELES,CA,SI,"GUNSHOT WOUND TO HEAD; MORTALITY (ANIMAL DIED IN REHAB, NECROPSY REVEALED BULLET IN RIGHT TEMPORALIS MUSCLE, SKULL FRAGMENT IN BRAIN)",DEAD,P9,1,N,Y
CALIFORNIA SEA LION,U.S.,2008,11,11,SHOOTING,LINCOLN,OR,DEAD,SHOTGUN PELLETS COLLECTED,DEAD,NA,1,N,Y
CALIFORNIA SEA LION,U.S.,2008,11,23,CA SWORDFISH DRIFT GILLNET FISHERY,OFFSHORE,CA,DEAD,OBSERVER PROGRAM,DEAD,NA,1,Y,Y
CALIFORNIA SEA LION,U.S.,2008,11,23,GILLNET FISHERY,LOS ANGELES,CA,SI,GILLNET FRAGMENT AROUND NECK; NON-FATAL INJURY (ANIMAL DISENTANGLED ON SITE & RELEASED),NSI,P7B,0,Y,N
CALIFORNIA SEA LION,U.S.,2008,11,23,HOOK AND LINE FISHERY,LOS ANGELES,CA,NSI,FISH HOOK IN REAR FLIPPER; MORTALITY (ANIMAL DIED IN REHAB; CAUSE OF DEATH = INTERSTITIAL NEPHRITIS),DEAD,P5D,1,N,Y
CALIFORNIA SEA LION,U.S.,2008,11,25,CA SWORDFISH DRIFT GILLNET FISHERY,OFFSHORE,CA,DEAD,OBSERVER PROGRAM,DEAD,NA,1,Y,Y
CALIFORNIA SEA LION,U.S.,2008,12,10,STAB WOUNDS,SAN DIEGO,CA,SI,"LIVE ANIMAL HAULED OUT ON DOCK WITH KNIFE BLADE PROTRUDING FROM BACK; NON-FATAL INJURY (RESCUE  IMMOBILIZED ANIMAL, REMOVED KNIFE BLADE & TREATED ANIMAL ON SITE)",SI,P9,1,N,Y
CALIFORNIA SEA LION,U.S.,2008,12,13,SHOOTING,MONTEREY,CA,SI,"MORTALITY (ANIMAL DIED IN REHAB, RADIOGRAPHS REVEALED BULLET TRACT ACROSS CRANIUM )",DEAD,P9,1,N,Y
CALIFORNIA SEA LION,U.S.,2008,12,19,SHOOTING,LOS ANGELES,CA,SI,"GUNSHOT WOUNDS TO CHEST; NON-FATAL INJURY (ANIMAL TAKEN INTO REHAB, TREATED & RELEASED)",NSI,P12,0,N,N
CALIFORNIA SEA LION,U.S.,2008,12,19,SHOOTING,SANTA CRUZ,CA,SI,MORTALITY (ANIMAL DIED DURING TRANSPORT TO REHAB; COPPER-COVERED LARGE CALIBER BULLET FRAGMENT RETRIEVED FROM RIGHT MANDIBLE DURING NECROPSY),DEAD,P9,1,N,Y
CALIFORNIA SEA LION,U.S.,2008,12,23,HOOK AND LINE FISHERY,SANTA BARBARA,CA,NSI,"FISH HOOK IN EYELID; NON-FATAL INJURY (ANIMAL TAKEN INTO REHAB, TREATED & RELEASED)",NSI,P5C,0,N,N
CALIFORNIA SEA LION,U.S.,2008,12,27,GILLNET FISHERY,VENTURA,CA,SI,"GILLNET FRAGMENT AROUND NECK; NON-FATAL INJURY (ANIMAL TAKEN INTO REHAB, DISENTANGLED, TREATED & RELEASED)",NSI,P7B,0,Y,N
CALIFORNIA SEA LION,U.S.,2008,12,31,HOOK AND LINE FISHERY,LOS ANGELES,CA,NSI,"FISH HOOK IN LOWER LIP; MORTALITY (ANIMAL DIED IN REHAB, CAUSE OF DEATH = VERMINOUS PNEUMONIA)",DEAD,P5C,1,N,Y
CALIFORNIA SEA LION,U.S.,2009,1,2,HOOK AND LINE FISHERY,LOS ANGELES,CA,SI,"FISH HOOK WITH LINE ATTACHED IN MOUTH, SOME BLOOD INSIDE MOUTH; NON-FATAL INJURY (ANIMAL RELEASED FROM REHAB)",NSI,P5C,0,N,N
CALIFORNIA SEA LION,U.S.,2009,1,4,HOOK AND LINE FISHERY,ORANGE,CA,SI,FISH HOOK IN TONGUE; NON-FATAL INJURY (ANIMAL RELEASED FROM REHAB),NSI,P5C,0,N,N
CALIFORNIA SEA LION,U.S.,2009,1,8,POWER PLANT ENTRAINMENT,SAN DIEGO,CA,DEAD,CARCASS FLOATING IN POWER PLANT INTAKE CHANNEL,DEAD,NA,1,N,Y
CALIFORNIA SEA LION,U.S.,2009,1,15,HOOK AND LINE FISHERY,LOS ANGELES,CA,NSI,FISH HOOK IN LEFT FRONT FLIPPER; NON-FATAL INJURY (ANIMAL RELEASED FROM REHAB),NSI,P5C,0,N,N
CALIFORNIA SEA LION,U.S.,2009,1,17,HOOK AND LINE FISHERY,ORANGE,CA,NSI,FISH HOOK IN RIGHT REAR FLIPPER; NON-FATAL INJURY (ANIMAL RELEASED FROM REHAB),NSI,P5C,0,N,N
CALIFORNIA SEA LION,U.S.,2009,1,18,GILLNET FISHERY,SANTA BARBARA,CA,SI,"OLD ENTANGLEMENT WOUND ON NECK, NO GEAR ON ANIMAL; NON-FATAL INJURY (ANIMAL RELEASED FROM REHAB)",NSI,P9,0,Y,N
CALIFORNIA SEA LION,U.S.,2009,1,18,SHOOTING,LOS ANGELES,CA,SI,"GUNSHOT WOUNDS UNDER RIGHT SHOULDER, IN NECK/JAW AREA, TO LEFT DORSAL THORAX & TO RIGHT EYE; RADIOGRAPHS REVEALED TWO BULLETS/PELLETS IN LEFT ELBOW REGION & FINE METAL DENSITY SPRAY IN OCULAR AREA; MORTALITY (ANIMAL EUTHANIZED IN REHAB DUE TO BLINDNESS FROM GUNSHOT)",DEAD,P9,1,N,Y
CALIFORNIA SEA LION,U.S.,2009,1,19,SHOOTING,SAN DIEGO,CA,SI,GUNSHOT WOUND TO LEFT SIDE OF FACE; MORTALITY (ANIMAL EUTHANIZED IN REHAB DUE TO SEPTIC DEGENERATION FROM GUNSHOT),DEAD,P9,1,N,Y
CALIFORNIA SEA LION,U.S.,2009,1,21,SHOOTING,LOS ANGELES,CA,SI,GUNSHOT WOUNDS TO THORAX & SPINE; RADIOGRAPHS REVEALED BULLET IN THORAX & BULLET IN SPINE; MORTALITY (ANIMAL EUTHANIZED IN REHAB DUE TO PARALYSIS FROM GUNSHOT),DEAD,P9,1,N,Y
CALIFORNIA SEA LION,U.S.,2009,1,26,GILLNET FISHERY,LOS ANGELES,CA,SI,GILLNET FRAGMENT AROUND NECK CAUSING 3 CENTIMETER DEEP LACERATION; MORTALITY (ANIMAL DIED IN REHAB),DEAD,P8A,1,Y,Y
CALIFORNIA SEA LION,U.S.,2009,1,26,SHOOTING,SAN LUIS OBISPO,CA,SI,GUNSHOT WOUND TO NECK; RADIOGRAPHS REVEALED SHOTGUN PELLETS IN NECK AREA; MORTALITY (ANIMAL EUTHANIZED IN REHAB DUE TO PARALYSIS OF RIGHT REAR FLIPPER DUE TO GUNSHOT); NECROPSY REVEALED CURVED 7 CENTIMETER LONG METAL FRAGMENT IN STOMACH,DEAD,P2,1,N,Y
CALIFORNIA SEA LION,U.S.,2009,1,26,SHOOTING,LOS ANGELES,CA,SI,"GUNSHOT WOUND TO NECK/SHOULDER AREA; RADIOGRAPHS REVEALED NUMEROUS FRAGMENTS FROM SINGLE BULLET IN NECK/SHOULDER AREA; ABSCESS IN SHOULDER AREA FROM GUNSHOT WOUND CAUSED ANIMAL TO FAVOR RIGHT FRONT FLIPPER; NON-FATAL INJURY (ANIMAL RELEASED FROM REHAB WITH BULLET FRAGMENTS INTACT; ABSCESS TREATED IN REHAB, ANIMAL ABLE TO USE RIGHT FRONT FLIPPER PRIOR TO RELEASE)",NSI,P9,0,N,N
CALIFORNIA SEA LION,U.S.,2009,2,3,SHOOTING,LOS ANGELES,CA,SI,GUNSHOT WOUND TO RIGHT SHOULDER RESULTING IN MYOSITIS; RADIOGRAPHS REVEALED BULLET FRAGMENTS IN RIGHT SHOULDER & BULLET IN SPINE; MORTALITY (ANIMAL EUTHANIZED IN REHAB; NECROPSY REVEALED SPINAL CORD DAMAGE AT T5 & FRACTURE OF RIGHT 5TH RIB),DEAD,P9,1,N,Y
CALIFORNIA SEA LION,U.S.,2009,2,4,GILLNET FISHERY,LOS ANGELES,CA,NSI,"OLD GILLNET WOUND ON DORSAL SIDE OF NECK, NO GEAR ON ANIMAL; NON-FATAL INJURY (ANIMAL RELEASED FROM REHAB)",NSI,P9,0,N,N
CALIFORNIA SEA LION,U.S.,2009,2,6,HOOK AND LINE FISHERY,ORANGE,CA,NSI,FISH HOOK IN NOSTRIL; NON-FATAL INJURY (ANIMAL RELEASED FROM REHAB),NSI,P5C,0,N,N
CALIFORNIA SEA LION,U.S.,2009,2,6,SHOOTING,SAN DIEGO,CA,SI,"2 GUNSHOT WOUNDS TO BACK; MORTALITY (ANIMAL DIED IN REHAB; SMALL BULLET FRAGMENT REMOVED DURING NECROPSY; NECROPSY REVEALED HEMOTHORAX, PULMONARY HEMORRHAGE & SIMPLE TRAUMATIC RIB FRACTURE)",DEAD,P9,1,N,Y
CALIFORNIA SEA LION,U.S.,2009,2,8,GILLNET FISHERY,VENTURA,CA,NSI,"OLD GILLNET WOUND AROUND NECK, NO GEAR ON ANIMAL; NON-FATAL INJURY (ANIMAL RELEASED FROM REHAB)",NSI,P9,0,N,N
CALIFORNIA SEA LION,U.S.,2009,2,8,SHOOTING,SANTA BARBARA,CA,DEAD,GUNSHOT WOUND TO BACK OF HEAD; CARCASS EXAMINED BY COAL OIL POINT RESERVE ,DEAD,NA,1,N,Y
CALIFORNIA SEA LION,U.S.,2009,2,8,SHOOTING,SANTA BARBARA,CA,SI,SHOTGUN WOUND TO HEAD; NON-FATAL INJURY (ANIMAL RELEASED FROM REHAB),NSI,P9,0,N,N
CALIFORNIA SEA LION,U.S.,2009,2,15,GILLNET FISHERY,MARIN,CA,SI,GILLNET FRAGMENT AROUND HEAD & JAW; NON-FATAL INJURY (ANIMAL RELEASED FROM REHAB),NSI,P5C,0,Y,N
CALIFORNIA SEA LION,U.S.,2009,2,19,SHOOTING,LOS ANGELES,CA,SI,"GUNSHOT WOUND TO RIGHT SHOULDER; MORTALITY (ANIMAL EUTHANIZED IN REHAB DUE TO PARALYSIS OF HIND FLIPPERS, CAUSE OF PARALYSIS UNKNOWN; SINGLE BULLET REMOVED FROM VENTRAL SUBCUTANEOUS TISSUE IN RIGHT SHOULDER)",DEAD,P9,1,N,Y
CALIFORNIA SEA LION,U.S.,2009,2,20,MARINE DEBRIS,VENTURA,CA,SI,FAN BELT AROUND HEAD/NECK AREA; NON-FATAL INJURY (ANIMAL RELEASED FROM REHAB),NSI,P7B,0,N,N
CALIFORNIA SEA LION,U.S.,2009,2,20,SHOOTING,SAN DIEGO,CA,SI,GUNSHOT WOUND TO HINDFLIPPER; MORTALITY (ANIMAL EUTHANIZED IN REHAB DUE TO GUNSHOT; .22 CALIBER BULLET REMOVED FROM LEFT OF TIBIA MEDIAL CONDYLE,DEAD,P9,1,N,Y
CALIFORNIA SEA LION,U.S.,2009,2,23,BAIT BARGE NET ENTANGLEMENT,SAN DIEGO,CA,DEAD,DEAD ANIMAL DISCOVERED INSIDE U.S. NAVY MARINE MAMMAL PROGRAM BAIT PEN,DEAD,NA,1,Y,Y
CALIFORNIA SEA LION,U.S.,2009,2,28,GILLNET FISHERY,ORANGE,CA,SI,GILLNET FRAGMENT AROUND NECK; MORTALITY (ANIMAL DIED IN REHAB; CAUSE OF DEATH = UNKNOWN),DEAD,P8A,1,Y,Y
CALIFORNIA SEA LION,U.S.,2009,3,1,HOOK AND LINE FISHERY,LOS ANGELES,CA,NSI,FISH HOOK IN LOWER RIGHT JAW; NON-FATAL INJURY (ANIMAL RELEASED FROM REHAB),NSI,P5C,0,N,N
CALIFORNIA SEA LION,U.S.,2009,3,3,HOOK AND LINE FISHERY,ORANGE,CA,NSI,FISH HOOKS IN FRONT & REAR FLIPPERS; NON-FATAL INJURY (ANIMAL RELEASED FROM REHAB),NSI,P5C,0,N,N
CALIFORNIA SEA LION,U.S.,2009,3,10,AUTHORIZED REMOVAL,COLUMBIA RIVER,WA,ALIVE,REMOVAL OF ANIMAL PREYING ON ENDANGERED SALMON IN COLUMBIA RIVER. AUTHORIZED UNDER MMPA SECTION 120. ANIMAL KILLED BY LETHAL INJECTION.,DEAD,NA,1,N,Y
CALIFORNIA SEA LION,U.S.,2009,3,11,AUTHORIZED REMOVAL,COLUMBIA RIVER,WA,ALIVE,REMOVAL OF ANIMAL PREYING ON ENDANGERED SALMON IN COLUMBIA RIVER. AUTHORIZED UNDER MMPA SECTION 120. ANIMAL KILLED BY LETHAL INJECTION.,DEAD,NA,1,N,Y
CALIFORNIA SEA LION,U.S.,2009,3,14,MARINE DEBRIS,MONTEREY,CA,SI,PACKING STRAP AROUND NECK; NON-FATAL INJURY (ANIMAL DISENTANGLED & RELEASED ON SITE),NSI,P7B,0,N,N
CALIFORNIA SEA LION,U.S.,2009,3,14,MARINE DEBRIS,MONTEREY,CA,SI,HARD PLASTIC GASKET AROUND NECK; NON-FATAL INJURY (ANIMAL DISENTANGLED & RELEASED ON SITE),NSI,P7B,0,N,N
CALIFORNIA SEA LION,U.S.,2009,3,17,AUTHORIZED REMOVAL,COLUMBIA RIVER,WA,ALIVE,REMOVAL OF ANIMAL PREYING ON ENDANGERED SALMON IN COLUMBIA RIVER. AUTHORIZED UNDER MMPA SECTION 120. ANIMAL KILLED BY LETHAL INJECTION.,DEAD,NA,1,N,Y
CALIFORNIA SEA LION,U.S.,2009,3,18,AUTHORIZED REMOVAL,COLUMBIA RIVER,WA,ALIVE,REMOVAL OF ANIMAL PREYING ON ENDANGERED SALMON IN COLUMBIA RIVER. AUTHORIZED UNDER MMPA SECTION 120. ANIMAL TRANSFERRED TO CAPTIVE DISPLAY FACILITY.,CAPTIVITY,NA,1,N,Y
CALIFORNIA SEA LION,U.S.,2009,3,18,AUTHORIZED REMOVAL,COLUMBIA RIVER,WA,ALIVE,REMOVAL OF ANIMAL PREYING ON ENDANGERED SALMON IN COLUMBIA RIVER. AUTHORIZED UNDER MMPA SECTION 120. ANIMAL TRANSFERRED TO CAPTIVE DISPLAY FACILITY.,CAPTIVITY,NA,1,N,Y
CALIFORNIA SEA LION,U.S.,2009,3,18,HOOK AND LINE FISHERY,KING,WA,SI,SEA LION HAULED OUT ON BUOY WITH MONOFILAMENT FISHING LINE AROUND NECK,SI,P8A,1,N,Y
CALIFORNIA SEA LION,U.S.,2009,3,19,HOOK AND LINE FISHERY,SAN DIEGO,CA,NSI,FISH HOOK IN LEFT FLIPPER; NON-FATAL INJURY (ANIMAL RELEASED FROM REHAB),NSI,P5C,0,N,N
CALIFORNIA SEA LION,U.S.,2009,3,22,MARINE DEBRIS,MONTEREY,CA,SI,"BLACK RUBBER BELT (FAN BELT?) AROUND LOWER NECK, CUTTING INTO SHOULDERS, WOUND BLEEDING; MORTALITY (ANIMAL EUTHANIZED IN REHAB)",DEAD,P8A,1,N,Y
CALIFORNIA SEA LION,U.S.,2009,3,26,GILLNET FISHERY,LOS ANGELES,CA,SI,"OLD GILLNET WOUND AROUND NECK, TISSUE NECROTIC & INFECTED, NO GEAR ON ANIMAL; MORTALITY (ANIMAL DIED IN REHAB)",DEAD,P1,1,Y,Y
CALIFORNIA SEA LION,U.S.,2009,4,1,AUTHORIZED REMOVAL,COLUMBIA RIVER,WA,ALIVE,REMOVAL OF ANIMAL PREYING ON ENDANGERED SALMON IN COLUMBIA RIVER. AUTHORIZED UNDER MMPA SECTION 120. ANIMAL KILLED BY LETHAL INJECTION.,DEAD,NA,1,N,Y
CALIFORNIA SEA LION,U.S.,2009,4,1,AUTHORIZED REMOVAL,COLUMBIA RIVER,WA,ALIVE,REMOVAL OF ANIMAL PREYING ON ENDANGERED SALMON IN COLUMBIA RIVER. AUTHORIZED UNDER MMPA SECTION 120. ANIMAL KILLED BY LETHAL INJECTION.,DEAD,NA,1,N,Y
CALIFORNIA SEA LION,U.S.,2009,4,1,AUTHORIZED REMOVAL,COLUMBIA RIVER,WA,ALIVE,REMOVAL OF ANIMAL PREYING ON ENDANGERED SALMON IN COLUMBIA RIVER. AUTHORIZED UNDER MMPA SECTION 120. ANIMAL KILLED BY LETHAL INJECTION.,DEAD,NA,1,N,Y
CALIFORNIA SEA LION,U.S.,2009,4,1,AUTHORIZED REMOVAL,COLUMBIA RIVER,WA,ALIVE,REMOVAL OF ANIMAL PREYING ON ENDANGERED SALMON IN COLUMBIA RIVER. AUTHORIZED UNDER MMPA SECTION 120. ANIMAL TRANSFERRED TO CAPTIVE DISPLAY FACILITY.,CAPTIVITY,NA,1,N,Y
CALIFORNIA SEA LION,U.S.,2009,4,1,AUTHORIZED REMOVAL,COLUMBIA RIVER,WA,ALIVE,REMOVAL OF ANIMAL PREYING ON ENDANGERED SALMON IN COLUMBIA RIVER. AUTHORIZED UNDER MMPA SECTION 120. ANIMAL TRANSFERRED TO CAPTIVE DISPLAY FACILITY.,CAPTIVITY,NA,1,N,Y
CALIFORNIA SEA LION,U.S.,2009,4,1,AUTHORIZED REMOVAL,COLUMBIA RIVER,WA,ALIVE,REMOVAL OF ANIMAL PREYING ON ENDANGERED SALMON IN COLUMBIA RIVER. AUTHORIZED UNDER MMPA SECTION 120. ANIMAL KILLED BY LETHAL INJECTION.,DEAD,NA,1,N,Y
CALIFORNIA SEA LION,U.S.,2009,4,1,HOOK AND LINE FISHERY,ORANGE,CA,NSI,FISH HOOK IN FRONT FLIPPER; NON-FATAL INJURY (ANIMAL RELEASED FROM REHAB),NSI,P5C,0,N,N
